Home_ID,State,City,Month,Avg_Daily_Temp,Area_sqm,Occupants,Has_Solar_Panels,Has_Battery_Storage,Energy_Efficiency_Rating,Appliance_Efficiency,Monthly_Consumption_kWh,Monthly_Cost
1,NSW,Sydney,7,19,95.86,5,0,0,A,0.73,7210.67,473.84
2,NSW,Sydney,5,19,227.02,5,1,0,B,0.59,7762.6,512.27
3,NSW,Sydney,5,19.2,202.91,5,0,0,D,0.57,12514.09,829.06
4,NSW,Sydney,12,24.7,108.19,3,0,1,C,0.93,9052.32,595.52
5,NSW,Sydney,7,12.7,66.26,4,1,0,C,0.51,6686.62,440.25
6,NSW,Sydney,2,21.8,160.04,4,0,0,E,0.63,17197.7,1135.98
7,NSW,Sydney,8,18.6,156.29,2,0,0,D,0.72,8479.01,559.55
8,NSW,Sydney,10,21.9,199.47,4,0,0,C,0.64,12640.19,832.32
9,NSW,Sydney,5,18.9,291.31,4,0,0,D,0.54,11654.01,769.16
10,NSW,Sydney,7,15.2,148.72,3,0,0,D,0.8,8857.21,582.64
11,NSW,Sydney,10,16.6,78.97,1,0,0,A,0.66,4545.38,300.06
12,NSW,Sydney,8,17.7,197.82,3,0,0,E,0.92,10739.04,711.78
13,NSW,Sydney,5,18.6,242.74,3,0,0,A,0.55,6644.53,436.47
14,NSW,Sydney,7,15.8,190.82,4,1,0,C,0.88,5609.76,373.38
15,NSW,Sydney,4,22.4,199.72,3,0,1,D,0.82,8496.29,558.89
16,NSW,Sydney,6,15.6,104.61,4,1,0,D,0.95,6054.9,398.56
17,NSW,Sydney,7,20.1,118.03,3,0,0,E,0.5,9716.26,643.34
18,NSW,Sydney,8,16.3,171.21,1,0,0,E,0.66,9051.49,600.33
19,NSW,Sydney,8,18,140.91,1,0,0,D,0.86,6941.15,461.12
20,NSW,Sydney,5,15.8,59.22,1,1,0,A,0.67,2608.24,172.21
21,NSW,Sydney,1,17.4,86.22,4,0,0,C,0.54,15321.84,1014.37
22,NSW,Sydney,8,13.4,232.05,5,0,0,C,0.55,12720.19,838.53
23,NSW,Sydney,1,16.5,177.05,5,1,0,B,0.86,9649.08,638.97
24,NSW,Sydney,3,16.5,74.04,1,0,0,E,0.57,11245.97,744.37
25,NSW,Sydney,12,22.4,102.27,2,0,0,D,0.78,12533.26,828.26
